base,digits,ordered_state_count,repdigit_state_count,valid_state_count,permutation_class_count,unique_output_count,attractor_count,fixed_point_count,nontrivial_cycle_count,maximum_cycle_length,maximum_transient_depth_all,maximum_transient_depth_valid,valid_mean_transient_depth,valid_median_transient_depth,valid_population_standard_deviation,valid_attractor_count,unanimous_valid_attractor,largest_valid_basin_size,largest_valid_basin_percentage
12,2,144,12,132,78,12,2,1,1,6,2,2,1.4090909090909092,1.0,0.5767535245658872,1,True,132,100.0
12,3,1728,12,1716,364,12,2,2,0,1,7,7,3.6392773892773893,4.0,1.6354380920389555,1,True,1716,100.0
12,4,20736,12,20724,1365,78,3,1,2,6,7,7,3.015006755452615,3.0,1.4903720620618708,2,False,16012,77.26307662613395
12,5,248832,12,248820,4368,78,3,2,1,2,12,12,6.502037617554859,7.0,2.73807706599409,2,False,244030,98.07491359215497
12,6,2985984,12,2985972,12376,364,3,2,1,10,19,19,7.847066549853783,7.0,4.747326043085805,2,False,2983092,99.90354899510109
13,2,169,13,156,91,13,2,1,1,3,3,3,2.173076923076923,2.0,0.870922451863404,2,False,144,92.3076923076923
13,3,2197,13,2184,455,13,2,1,1,2,7,7,3.3067765567765566,3.0,1.7505179383934426,1,True,2184,100.0
13,4,28561,13,28548,1820,91,4,1,3,6,4,4,1.944409415720891,2.0,0.6692043374346245,3,False,11706,41.00462379150904
13,5,371293,13,371280,6188,91,2,1,1,4,12,12,6.433974358974359,7.0,3.177363783819403,1,True,371280,100.0
13,6,4826809,13,4826796,18564,455,2,2,0,1,20,20,11.47870326402856,12.0,4.390092794636787,1,True,4826796,100.0
14,2,196,14,182,105,14,4,2,2,4,2,2,1.4230769230769231,1.0,0.5665738408713936,3,False,104,57.142857142857146
14,3,2744,14,2730,560,14,2,2,0,1,8,8,4.03040293040293,4.0,1.8568235270323519,1,True,2730,100.0
14,4,38416,14,38402,2380,105,2,1,1,3,9,9,4.10517681370762,3.0,1.9359449073981636,1,True,38402,100.0
14,5,537824,14,537810,8568,105,3,1,2,4,11,11,4.597486101039401,4.0,2.476271956038238,2,False,531100,98.75234748331195
14,6,7529536,14,7529522,27132,560,5,2,3,12,29,29,11.524237660770497,10.0,8.390660240346662,4,False,6300812,83.68143422650203
15,2,225,15,210,120,15,1,1,0,1,5,5,4.266666666666667,5.0,0.9285592184789413,1,True,210,100.0
15,3,3375,15,3360,680,15,2,1,1,2,8,8,3.699404761904762,4.0,1.978334948764019,1,True,3360,100.0
15,4,50625,15,50610,3060,120,8,2,6,4,4,4,1.9268326417704011,2.0,0.6531437400439364,7,False,10052,19.861687413554634
15,5,759375,15,759360,11628,120,2,2,0,1,13,13,6.945808312262958,7.0,3.0097977381356245,1,True,759360,100.0
15,6,11390625,15,11390610,38760,680,3,1,2,9,14,14,6.115337282199987,5.0,3.059061410577524,2,False,9255012,81.25124115389782
16,2,256,16,240,136,16,3,1,2,4,2,2,1.4333333333333333,1.0,0.5587684871413403,2,False,120,50.0
16,3,4096,16,4080,816,16,2,2,0,1,9,9,4.417401960784313,4.0,2.083088091101832,1,True,4080,100.0
16,4,65536,16,65520,3876,136,5,1,4,6,6,6,3.304410866910867,3.0,1.416949579914071,4,False,31536,48.13186813186813
16,5,1048576,16,1048560,15504,136,4,1,3,4,10,10,4.96901560234989,5.0,2.3336782055919474,3,False,719230,68.59216449225605
16,6,16777216,16,16777200,54264,816,7,2,5,5,31,31,11.693942910616789,10.0,7.899121177395811,6,False,12668520,75.51033545526072
