base,digits,attractor_id,cycle,cycle_length,kind,basin_size_all,basin_percentage_all,basin_size_valid,basin_percentage_valid,repdigit_basin_size,maximum_transient_depth_all,maximum_transient_depth_valid
14,6,530CA9 -> C73962 -> A60C74 -> C60C72 -> CA0C32 -> CA6632 -> A6DD64 -> 973965 -> 640C98 -> C51B82 -> B92A43 -> 974865,530CA9 -> C73962 -> A60C74 -> C60C72 -> CA0C32 -> CA6632 -> A6DD64 -> 973965 -> 640C98 -> C51B82 -> B92A43 -> 974865 -> 530CA9,12,non-trivial cycle,6300812,83.68127863390254,6300812,83.68143422650203,0,29,29
14,6,76DD67,76DD67 -> 76DD67,1,fixed point,3990,0.052991313143333135,3990,0.05299141167261348,0,1,1
14,6,A40C94 -> C64872,A40C94 -> C64872 -> A40C94,2,non-trivial cycle,232920,3.093417708607808,232920,3.0934234603471507,0,3,3
14,6,A80C54 -> C62A72,A80C54 -> C62A72 -> A80C54,2,non-trivial cycle,991800,13.172126409914236,991800,13.172150901478208,0,8,8
15,2,00,00 -> 00,1,fixed point,225,100.0,210,100.0,15,5,5
15,3,000,000 -> 000,1,fixed point,15,0.4444444444444444,0,0.0,15,1,
15,3,6E8 -> 7E7,6E8 -> 7E7 -> 6E8,2,non-trivial cycle,3360,99.55555555555556,3360,100.0,0,8,8
15,4,0000,0000 -> 0000,1,fixed point,15,0.02962962962962963,0,0.0,15,1,
15,4,30DC -> D852 -> B2B4 -> 9676,30DC -> D852 -> B2B4 -> 9676 -> 30DC,4,non-trivial cycle,10052,19.855802469135803,10052,19.861687413554634,0,3,3
15,4,50DA -> D492 -> B494 -> 7498,50DA -> D492 -> B494 -> 7498 -> 50DA,4,non-trivial cycle,9490,18.74567901234568,9490,18.75123493380755,0,3,3
15,4,52BA -> 9496,52BA -> 9496 -> 52BA,2,non-trivial cycle,5170,10.212345679012346,5170,10.215372456036356,0,3,3
15,4,70D8 -> D0D2 -> DA32 -> B674,70D8 -> D0D2 -> DA32 -> B674 -> 70D8,4,non-trivial cycle,9640,19.041975308641977,9640,19.047619047619047,0,4,4
15,4,72B8 -> 90D6 -> D2B2 -> B854,72B8 -> 90D6 -> D2B2 -> B854 -> 72B8,4,non-trivial cycle,9538,18.840493827160493,9538,18.84607785022723,0,3,3
15,4,92B6,92B6 -> 92B6,1,fixed point,2160,4.266666666666667,2160,4.267931238885596,0,2,2
15,4,B0D4 -> D672,B0D4 -> D672 -> B0D4,2,non-trivial cycle,4560,9.007407407407408,4560,9.010077059869591,0,2,2
15,5,00000,00000 -> 00000,1,fixed point,15,0.0019753086419753087,0,0.0,15,1,
15,5,A4E95,A4E95 -> A4E95,1,fixed point,759360,99.99802469135803,759360,100.0,0,13,13
15,6,000000,000000 -> 000000,1,fixed point,15,0.00013168724279835392,0,0.0,15,1,
15,6,41EECB -> DA0D42 -> DB5832 -> B82B64 -> 971C76 -> B2EEB4 -> C9EE43 -> BA2B44 -> 975876,41EECB -> DA0D42 -> DB5832 -> B82B64 -> 971C76 -> B2EEB4 -> C9EE43 -> BA2B44 -> 975876 -> 41EECB,9,non-trivial cycle,9255012,81.2511341563786,9255012,81.25124115389782,0,14,14
15,6,960D86 -> D31CB2 -> CA7643,960D86 -> D31CB2 -> CA7643 -> 960D86,3,non-trivial cycle,2135598,18.7487341563786,2135598,18.748758846102184,0,13,13
16,2,00,00 -> 00,1,fixed point,16,6.25,0,0.0,16,1,
16,2,0F -> E1 -> C3 -> 87,0F -> E1 -> C3 -> 87 -> 0F,4,non-trivial cycle,120,46.875,120,50.0,0,2,2
16,2,2D -> A5 -> 4B -> 69,2D -> A5 -> 4B -> 69 -> 2D,4,non-trivial cycle,120,46.875,120,50.0,0,2,2
16,3,000,000 -> 000,1,fixed point,16,0.390625,0,0.0,16,1,
16,3,7F8,7F8 -> 7F8,1,fixed point,4080,99.609375,4080,100.0,0,9,9
16,4,0000,0000 -> 0000,1,fixed point,16,0.0244140625,0,0.0,16,1,
16,4,1FFE -> E0E2 -> EB32 -> C774 -> 7FF8 -> 8688,1FFE -> E0E2 -> EB32 -> C774 -> 7FF8 -> 8688 -> 1FFE,6,non-trivial cycle,31536,48.1201171875,31536,48.13186813186813,0,6,6
16,4,30ED -> E952 -> C3B4 -> 9687,30ED -> E952 -> C3B4 -> 9687 -> 30ED,4,non-trivial cycle,14928,22.7783203125,14928,22.783882783882785,0,4,4
16,4,3FFC -> C2C4 -> A776,3FFC -> C2C4 -> A776 -> 3FFC,3,non-trivial cycle,12528,19.1162109375,12528,19.12087912087912,0,6,6
16,4,52CB -> A596,52CB -> A596 -> 52CB,2,non-trivial cycle,6528,9.9609375,6528,9.963369963369964,0,4,4
16,5,00000,00000 -> 00000,1,fixed point,16,0.00152587890625,0,0.0,16,1,
16,5,86F88 -> 8FFF7,86F88 -> 8FFF7 -> 86F88,2,non-trivial cycle,8950,0.8535385131835938,8950,0.8535515373464561,0,2,2
16,5,A3FB6 -> C4FA4 -> B7F75,A3FB6 -> C4FA4 -> B7F75 -> A3FB6,3,non-trivial cycle,719230,68.59111785888672,719230,68.59216449225605,0,10,10
16,5,A4FA6 -> B3FB5 -> C5F94 -> B6F85,A4FA6 -> B3FB5 -> C5F94 -> B6F85 -> A4FA6,4,non-trivial cycle,320380,30.553817749023438,320380,30.5542839703975,0,6,6
16,6,000000,000000 -> 000000,1,fixed point,16,9.5367431640625e-05,0,0.0,16,1,
16,6,310EED -> ED9522 -> CB3B44 -> 976887,310EED -> ED9522 -> CB3B44 -> 976887 -> 310EED,4,non-trivial cycle,103680,0.61798095703125,103680,0.6179815463843789,0,3,3
16,6,532CCB -> A95966,532CCB -> A95966 -> 532CCB,2,non-trivial cycle,43160,0.25725364685058594,43160,0.2572538921870157,0,2,2
16,6,840EB8 -> E6FF82 -> D95963 -> A42CB6 -> A73B86,840EB8 -> E6FF82 -> D95963 -> A42CB6 -> A73B86 -> 840EB8,5,non-trivial cycle,2778480,16.561031341552734,2778480,16.56104713539804,0,10,10
16,6,87FF78,87FF78 -> 87FF78,1,fixed point,5280,0.03147125244140625,5280,0.03147128245476003,0,1,1
16,6,A80E76 -> E40EB2 -> EC6832 -> C91D64 -> C82C74,A80E76 -> E40EB2 -> EC6832 -> C91D64 -> C82C74 -> A80E76,5,non-trivial cycle,12668520,75.51026344299316,12668520,75.51033545526072,0,31,31
16,6,C60E94 -> E82C72 -> CA0E54 -> E84A72,C60E94 -> E82C72 -> CA0E54 -> E84A72 -> C60E94,4,non-trivial cycle,1178080,7.021903991699219,1178080,7.021910688315094,0,10,10
