base,digits,attractor_id,transient_depth,state_count_all,state_percentage_all,state_count_valid,state_percentage_valid
5,3,143 -> 242,0,2,1.6,2,1.6666666666666667
5,3,143 -> 242,1,70,56.0,70,58.333333333333336
5,3,143 -> 242,2,24,19.2,24,20.0
5,3,143 -> 242,3,24,19.2,24,20.0
5,4,0000,0,1,0.16,0,0.0
5,4,0000,1,4,0.64,0,0.0
5,4,3032,0,1,0.16,1,0.16129032258064516
5,4,3032,1,95,15.2,95,15.32258064516129
5,4,3032,2,248,39.68,248,40.0
5,4,3032,3,212,33.92,212,34.193548387096776
5,4,3032,4,64,10.24,64,10.32258064516129
5,5,00000,0,1,0.032,0,0.0
5,5,00000,1,4,0.128,0,0.0
5,5,30432 -> 40431 -> 42411 -> 32412,0,4,0.128,4,0.1282051282051282
5,5,30432 -> 40431 -> 42411 -> 32412,1,1276,40.832,1276,40.8974358974359
5,5,30432 -> 40431 -> 42411 -> 32412,2,1700,54.4,1700,54.48717948717949
5,5,30432 -> 40431 -> 42411 -> 32412,3,140,4.48,140,4.487179487179487
5,6,000000,0,1,0.0064,0,0.0
5,6,000000,1,4,0.0256,0,0.0
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,0,5,0.032,5,0.03201024327784891
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,1,3775,24.16,3775,24.167733674775928
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,2,7612,48.7168,7612,48.732394366197184
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,3,2228,14.2592,2228,14.263764404609475
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,4,1500,9.6,1500,9.603072983354673
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,5,500,3.2,500,3.201024327784891
6,2,00,0,1,2.7777777777777777,0,0.0
6,2,00,1,5,13.88888888888889,0,0.0
6,2,05 -> 41 -> 23,0,3,8.333333333333334,3,10.0
6,2,05 -> 41 -> 23,1,15,41.666666666666664,15,50.0
6,2,05 -> 41 -> 23,2,12,33.333333333333336,12,40.0
6,3,000,0,1,0.46296296296296297,0,0.0
6,3,000,1,5,2.314814814814815,0,0.0
6,3,253,0,1,0.46296296296296297,1,0.47619047619047616
6,3,253,1,53,24.537037037037038,53,25.238095238095237
6,3,253,2,48,22.22222222222222,48,22.857142857142858
6,3,253,3,78,36.111111111111114,78,37.142857142857146
6,3,253,4,30,13.88888888888889,30,14.285714285714286
6,4,0000,0,1,0.07716049382716049,0,0.0
6,4,0000,1,5,0.38580246913580246,0,0.0
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,0,6,0.46296296296296297,6,0.46511627906976744
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,1,618,47.68518518518518,618,47.906976744186046
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,2,476,36.72839506172839,476,36.89922480620155
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,3,172,13.271604938271604,172,13.333333333333334
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,4,18,1.3888888888888888,18,1.3953488372093024
6,5,00000,0,1,0.01286008230452675,0,0.0
6,5,00000,1,5,0.06430041152263374,0,0.0
6,5,31533 -> 35552,0,2,0.0257201646090535,2,0.02574002574002574
