start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
1665,1665,1566,5,1,5085,5085,7.0,1665 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
1675,1675,1567,6,1,6084,6084,7.0,1675 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1677,1677,1677,6,1,6084,6084,7.0,1677 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1680,1680,0168,8,5,8442,8442,7.0,1680 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1690,1690,0169,9,5,9441,9441,7.0,1690 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
1691,1691,1169,8,5,8442,8442,7.0,1691 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1709,1709,0179,9,6,9531,9531,7.0,1709 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1712,1712,1127,6,1,6084,6084,7.0,1712 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1721,1721,1127,6,1,6084,6084,7.0,1721 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1723,1723,1237,6,1,6084,6084,7.0,1723 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1729,1729,1279,8,5,8442,8442,7.0,1729 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1732,1732,1237,6,1,6084,6084,7.0,1732 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1734,1734,1347,6,1,6084,6084,7.0,1734 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1743,1743,1347,6,1,6084,6084,7.0,1743 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1745,1745,1457,6,1,6084,6084,7.0,1745 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1754,1754,1457,6,1,6084,6084,7.0,1754 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1756,1756,1567,6,1,6084,6084,7.0,1756 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1765,1765,1567,6,1,6084,6084,7.0,1765 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1767,1767,1677,6,1,6084,6084,7.0,1767 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1776,1776,1677,6,1,6084,6084,7.0,1776 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1790,1790,0179,9,6,9531,9531,7.0,1790 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1792,1792,1279,8,5,8442,8442,7.0,1792 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1806,1806,0168,8,5,8442,8442,7.0,1806 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1839,1839,1389,8,5,8442,8442,7.0,1839 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1860,1860,0168,8,5,8442,8442,7.0,1860 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1893,1893,1389,8,5,8442,8442,7.0,1893 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1905,1905,0159,9,4,9351,9351,7.0,1905 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1906,1906,0169,9,5,9441,9441,7.0,1906 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
1907,1907,0179,9,6,9531,9531,7.0,1907 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
1916,1916,1169,8,5,8442,8442,7.0,1916 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
1927,1927,1279,8,5,8442,8442,7.0,1927 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
