start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
2438,2438,2348,6,1,6084,6084,7.0,2438 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2450,2450,0245,5,2,5175,5175,7.0,2450 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2456,2456,2456,4,1,4086,4086,7.0,2456 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2457,2457,2457,5,1,5085,5085,7.0,2457 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2458,2458,2458,6,1,6084,6084,7.0,2458 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2461,2461,1246,5,2,5175,5175,7.0,2461 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2463,2463,2346,4,1,4086,4086,7.0,2463 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2465,2465,2456,4,1,4086,4086,7.0,2465 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2467,2467,2467,5,2,5175,5175,7.0,2467 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2472,2472,2247,5,2,5175,5175,7.0,2472 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2473,2473,2347,5,1,5085,5085,7.0,2473 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2475,2475,2457,5,1,5085,5085,7.0,2475 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2476,2476,2467,5,2,5175,5175,7.0,2476 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2483,2483,2348,6,1,6084,6084,7.0,2483 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2485,2485,2458,6,1,6084,6084,7.0,2485 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2500,2500,0025,5,2,5175,5175,7.0,2500 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2501,2501,0125,5,1,5085,5085,7.0,2501 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2503,2503,0235,5,1,5085,5085,7.0,2503 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2504,2504,0245,5,2,5175,5175,7.0,2504 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2510,2510,0125,5,1,5085,5085,7.0,2510 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2511,2511,1125,4,1,4086,4086,7.0,2511 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2513,2513,1235,4,1,4086,4086,7.0,2513 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2530,2530,0235,5,1,5085,5085,7.0,2530 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2531,2531,1235,4,1,4086,4086,7.0,2531 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2537,2537,2357,5,2,5175,5175,7.0,2537 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2540,2540,0245,5,2,5175,5175,7.0,2540 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2546,2546,2456,4,1,4086,4086,7.0,2546 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2547,2547,2457,5,1,5085,5085,7.0,2547 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2548,2548,2458,6,1,6084,6084,7.0,2548 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2564,2564,2456,4,1,4086,4086,7.0,2564 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2566,2566,2566,4,1,4086,4086,7.0,2566 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2567,2567,2567,5,1,5085,5085,7.0,2567 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2568,2568,2568,6,1,6084,6084,7.0,2568 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2573,2573,2357,5,2,5175,5175,7.0,2573 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2574,2574,2457,5,1,5085,5085,7.0,2574 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2576,2576,2567,5,1,5085,5085,7.0,2576 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2577,2577,2577,5,2,5175,5175,7.0,2577 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2584,2584,2458,6,1,6084,6084,7.0,2584 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2586,2586,2568,6,1,6084,6084,7.0,2586 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2601,2601,0126,6,1,6084,6084,7.0,2601 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2603,2603,0236,6,1,6084,6084,7.0,2603 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2609,2609,0269,9,4,9351,9351,7.0,2609 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2610,2610,0126,6,1,6084,6084,7.0,2610 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2611,2611,1126,5,1,5085,5085,7.0,2611 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2613,2613,1236,5,1,5085,5085,7.0,2613 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2614,2614,1246,5,2,5175,5175,7.0,2614 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2623,2623,2236,4,1,4086,4086,7.0,2623 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2630,2630,0236,6,1,6084,6084,7.0,2630 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2631,2631,1236,5,1,5085,5085,7.0,2631 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2632,2632,2236,4,1,4086,4086,7.0,2632 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2634,2634,2346,4,1,4086,4086,7.0,2634 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2641,2641,1246,5,2,5175,5175,7.0,2641 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2643,2643,2346,4,1,4086,4086,7.0,2643 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2645,2645,2456,4,1,4086,4086,7.0,2645 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2647,2647,2467,5,2,5175,5175,7.0,2647 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2654,2654,2456,4,1,4086,4086,7.0,2654 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2656,2656,2566,4,1,4086,4086,7.0,2656 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2657,2657,2567,5,1,5085,5085,7.0,2657 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2658,2658,2568,6,1,6084,6084,7.0,2658 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2665,2665,2566,4,1,4086,4086,7.0,2665 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2674,2674,2467,5,2,5175,5175,7.0,2674 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2675,2675,2567,5,1,5085,5085,7.0,2675 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2677,2677,2677,5,1,5085,5085,7.0,2677 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2678,2678,2678,6,1,6084,6084,7.0,2678 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2685,2685,2568,6,1,6084,6084,7.0,2685 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2687,2687,2678,6,1,6084,6084,7.0,2687 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2690,2690,0269,9,4,9351,9351,7.0,2690 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2708,2708,0278,8,5,8442,8442,7.0,2708 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2709,2709,0279,9,5,9441,9441,7.0,2709 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2711,2711,1127,6,1,6084,6084,7.0,2711 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2713,2713,1237,6,1,6084,6084,7.0,2713 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2719,2719,1279,8,5,8442,8442,7.0,2719 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2723,2723,2237,5,1,5085,5085,7.0,2723 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2724,2724,2247,5,2,5175,5175,7.0,2724 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2731,2731,1237,6,1,6084,6084,7.0,2731 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2732,2732,2237,5,1,5085,5085,7.0,2732 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2734,2734,2347,5,1,5085,5085,7.0,2734 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2735,2735,2357,5,2,5175,5175,7.0,2735 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2742,2742,2247,5,2,5175,5175,7.0,2742 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2743,2743,2347,5,1,5085,5085,7.0,2743 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2745,2745,2457,5,1,5085,5085,7.0,2745 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2746,2746,2467,5,2,5175,5175,7.0,2746 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2753,2753,2357,5,2,5175,5175,7.0,2753 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2754,2754,2457,5,1,5085,5085,7.0,2754 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2756,2756,2567,5,1,5085,5085,7.0,2756 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2757,2757,2577,5,2,5175,5175,7.0,2757 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2764,2764,2467,5,2,5175,5175,7.0,2764 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2765,2765,2567,5,1,5085,5085,7.0,2765 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2767,2767,2677,5,1,5085,5085,7.0,2767 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2768,2768,2678,6,1,6084,6084,7.0,2768 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2775,2775,2577,5,2,5175,5175,7.0,2775 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2776,2776,2677,5,1,5085,5085,7.0,2776 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2780,2780,0278,8,5,8442,8442,7.0,2780 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2786,2786,2678,6,1,6084,6084,7.0,2786 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2788,2788,2788,6,1,6084,6084,7.0,2788 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2790,2790,0279,9,5,9441,9441,7.0,2790 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2791,2791,1279,8,5,8442,8442,7.0,2791 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2807,2807,0278,8,5,8442,8442,7.0,2807 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2809,2809,0289,9,6,9531,9531,7.0,2809 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2823,2823,2238,6,1,6084,6084,7.0,2823 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2832,2832,2238,6,1,6084,6084,7.0,2832 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2834,2834,2348,6,1,6084,6084,7.0,2834 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2843,2843,2348,6,1,6084,6084,7.0,2843 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2845,2845,2458,6,1,6084,6084,7.0,2845 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2854,2854,2458,6,1,6084,6084,7.0,2854 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2856,2856,2568,6,1,6084,6084,7.0,2856 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2865,2865,2568,6,1,6084,6084,7.0,2865 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2867,2867,2678,6,1,6084,6084,7.0,2867 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2870,2870,0278,8,5,8442,8442,7.0,2870 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2876,2876,2678,6,1,6084,6084,7.0,2876 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2878,2878,2788,6,1,6084,6084,7.0,2878 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2887,2887,2788,6,1,6084,6084,7.0,2887 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2890,2890,0289,9,6,9531,9531,7.0,2890 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2906,2906,0269,9,4,9351,9351,7.0,2906 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2907,2907,0279,9,5,9441,9441,7.0,2907 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2908,2908,0289,9,6,9531,9531,7.0,2908 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2917,2917,1279,8,5,8442,8442,7.0,2917 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2960,2960,0269,9,4,9351,9351,7.0,2960 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2970,2970,0279,9,5,9441,9441,7.0,2970 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2971,2971,1279,8,5,8442,8442,7.0,2971 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2980,2980,0289,9,6,9531,9531,7.0,2980 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3015,3015,0135,5,2,5175,5175,7.0,3015 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3024,3024,0234,4,1,4086,4086,7.0,3024 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3025,3025,0235,5,1,5085,5085,7.0,3025 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3026,3026,0236,6,1,6084,6084,7.0,3026 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3042,3042,0234,4,1,4086,4086,7.0,3042 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3044,3044,0344,4,1,4086,4086,7.0,3044 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3045,3045,0345,5,1,5085,5085,7.0,3045 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3046,3046,0346,6,1,6084,6084,7.0,3046 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3051,3051,0135,5,2,5175,5175,7.0,3051 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3052,3052,0235,5,1,5085,5085,7.0,3052 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3054,3054,0345,5,1,5085,5085,7.0,3054 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3055,3055,0355,5,2,5175,5175,7.0,3055 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3062,3062,0236,6,1,6084,6084,7.0,3062 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3064,3064,0346,6,1,6084,6084,7.0,3064 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3079,3079,0379,9,4,9351,9351,7.0,3079 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3088,3088,0388,8,5,8442,8442,7.0,3088 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3089,3089,0389,9,5,9441,9441,7.0,3089 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3097,3097,0379,9,4,9351,9351,7.0,3097 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3098,3098,0389,9,5,9441,9441,7.0,3098 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3099,3099,0399,9,6,9531,9531,7.0,3099 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3105,3105,0135,5,2,5175,5175,7.0,3105 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3116,3116,1136,5,2,5175,5175,7.0,3116 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3125,3125,1235,4,1,4086,4086,7.0,3125 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3126,3126,1236,5,1,5085,5085,7.0,3126 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3127,3127,1237,6,1,6084,6084,7.0,3127 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3145,3145,1345,4,1,4086,4086,7.0,3145 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3146,3146,1346,5,1,5085,5085,7.0,3146 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3147,3147,1347,6,1,6084,6084,7.0,3147 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3150,3150,0135,5,2,5175,5175,7.0,3150 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3152,3152,1235,4,1,4086,4086,7.0,3152 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3154,3154,1345,4,1,4086,4086,7.0,3154 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3156,3156,1356,5,2,5175,5175,7.0,3156 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3161,3161,1136,5,2,5175,5175,7.0,3161 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3162,3162,1236,5,1,5085,5085,7.0,3162 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3164,3164,1346,5,1,5085,5085,7.0,3164 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3165,3165,1356,5,2,5175,5175,7.0,3165 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3172,3172,1237,6,1,6084,6084,7.0,3172 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3174,3174,1347,6,1,6084,6084,7.0,3174 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3189,3189,1389,8,5,8442,8442,7.0,3189 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3198,3198,1389,8,5,8442,8442,7.0,3198 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3204,3204,0234,4,1,4086,4086,7.0,3204 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3205,3205,0235,5,1,5085,5085,7.0,3205 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3206,3206,0236,6,1,6084,6084,7.0,3206 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3215,3215,1235,4,1,4086,4086,7.0,3215 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3216,3216,1236,5,1,5085,5085,7.0,3216 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3217,3217,1237,6,1,6084,6084,7.0,3217 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3226,3226,2236,4,1,4086,4086,7.0,3226 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3227,3227,2237,5,1,5085,5085,7.0,3227 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3228,3228,2238,6,1,6084,6084,7.0,3228 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3240,3240,0234,4,1,4086,4086,7.0,3240 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3246,3246,2346,4,1,4086,4086,7.0,3246 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3247,3247,2347,5,1,5085,5085,7.0,3247 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3248,3248,2348,6,1,6084,6084,7.0,3248 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3250,3250,0235,5,1,5085,5085,7.0,3250 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3251,3251,1235,4,1,4086,4086,7.0,3251 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3257,3257,2357,5,2,5175,5175,7.0,3257 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3260,3260,0236,6,1,6084,6084,7.0,3260 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3261,3261,1236,5,1,5085,5085,7.0,3261 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3262,3262,2236,4,1,4086,4086,7.0,3262 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3264,3264,2346,4,1,4086,4086,7.0,3264 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3271,3271,1237,6,1,6084,6084,7.0,3271 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3272,3272,2237,5,1,5085,5085,7.0,3272 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3274,3274,2347,5,1,5085,5085,7.0,3274 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
3275,3275,2357,5,2,5175,5175,7.0,3275 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
3282,3282,2238,6,1,6084,6084,7.0,3282 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3284,3284,2348,6,1,6084,6084,7.0,3284 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
3347,3347,3347,4,1,4086,4086,7.0,3347 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
