start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
1135,1135,False,3,1135,4,2,5311,1135,4176,4176,1135 -> 4176 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
1136,1136,False,3,1136,5,2,6311,1136,5175,5175,1136 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
1137,1137,False,3,1137,6,2,7311,1137,6174,6174,1137 -> 6174 -> 6174,6174,6174,1,1,,True,False,False,1,6174 -> 6174
1138,1138,False,3,1138,7,2,8311,1138,7173,7173,1138 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1139,1139,False,3,1139,8,2,9311,1139,8172,8172,1139 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1140,1140,False,3,0114,4,0,4110,114,3996,3996,1140 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
1141,1141,False,2,1114,3,0,4111,1114,2997,2997,1141 -> 2997 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1142,1142,False,3,1124,3,1,4211,1124,3087,3087,1142 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
1143,1143,False,3,1134,3,2,4311,1134,3177,3177,1143 -> 3177 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1144,1144,False,2,1144,3,3,4411,1144,3267,3267,1144 -> 3267 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1145,1145,False,3,1145,4,3,5411,1145,4266,4266,1145 -> 4266 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
1146,1146,False,3,1146,5,3,6411,1146,5265,5265,1146 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
